date,spx_close,spx_ret,spx_tr_close,spx_tr_ret,rf
2017-09-01,2519.36,0.019302895,4887.97,0.020627748,0.0009
2017-10-02,2575.26,0.022188175,5002.03,0.02333484,0.0009
2017-11-01,2647.58,0.028082601,5155.44,0.030669548,0.0008
2017-12-01,2673.61,0.00983162,5212.76,0.011118353,0.0009
2018-01-02,2823.81,0.056178725,5511.21,0.057253739,0.0011
2018-02-01,2713.83,-0.03894738,5308.09,-0.03685579,0.0011
2018-03-01,2640.87,-0.026884514,5173.19,-0.025414038,0.0012
2018-04-02,2648.05,0.002718801,5193.04,0.003837091,0.0014
2018-05-01,2705.27,0.021608353,5318.1,0.024082233,0.0014
2018-06-01,2718.37,0.0048424,5350.83,0.006154454,0.0014
2018-07-02,2816.29,0.036021586,5549.96,0.037214787,0.0016
2018-08-01,2901.52,0.030263219,5730.8,0.032584019,0.0016
2018-09-04,2913.98,0.004294301,5763.42,0.00569205,0.0015
2018-10-01,2711.74,-0.069403359,5369.49,-0.068350042,0.0019
2018-11-01,2760.17,0.017859382,5478.91,0.020378099,0.0018
2018-12-03,2506.85,-0.091776956,4984.22,-0.090289857,0.0019
2019-01-02,2704.1,0.078684405,5383.63,0.080134906,0.0021
2019-02-01,2784.49,0.02972893,5556.49,0.032108447,0.0018
2019-03-01,2834.4,0.017924288,5664.46,0.019431332,0.0019
2019-04-01,2945.83,0.039313435,5893.81,0.040489296,0.0021
2019-05-01,2752.06,-0.065777726,5519.27,-0.063548028,0.0021
2019-06-03,2941.76,0.068930183,5908.25,0.070476712,0.0018
2019-07-01,2980.38,0.013128195,5993.17,0.014373122,0.0019
2019-08-01,2926.46,-0.018091653,5898.23,-0.015841366,0.0016
2019-09-03,2976.74,0.017181168,6008.59,0.018710698,0.0018
2019-10-01,3037.56,0.020431747,6138.73,0.021658992,0.0015
2019-11-01,3140.98,0.034047064,6361.56,0.036299039,0.0012
2019-12-02,3230.78,0.028589803,6553.57,0.030182848,0.0014
2020-01-02,3225.52,-0.00162809,6551.0,-0.000392153,0.0013
2020-02-03,2954.22,-0.084110469,6011.73,-0.08231873,0.0012
2020-03-02,2584.59,-0.125119321,5269.2,-0.123513531,0.0012
2020-04-01,2912.43,0.126844103,5944.68,0.128194033,0.0
2020-05-01,3044.31,0.045281775,6227.81,0.047627459,0.0001
2020-06-01,3100.29,0.018388403,6351.67,0.019888211,0.0001
2020-07-01,3271.12,0.055101297,6709.81,0.056385171,0.0001
2020-08-03,3500.31,0.070064687,7192.11,0.07187983,0.0001
2020-09-01,3363.0,-0.039227954,6918.83,-0.037997194,0.0001
2020-10-01,3269.96,-0.027665775,6734.84,-0.026592646,0.0001
2020-11-02,3621.63,0.107545658,7472.06,0.109463625,0.0001
2020-12-01,3756.07,0.037121407,7759.35,0.038448567,0.0001
2021-01-04,3714.24,-0.01113664,7681.01,-0.010096207,0.0
2021-02-01,3811.15,0.026091475,7892.81,0.027574499,0.0
2021-03-01,3972.89,0.042438634,8238.48,0.043795556,0.0
2021-04-01,4181.17,0.052425313,8678.16,0.053369068,0.0
2021-05-03,4204.11,0.005486503,8738.77,0.006984199,0.0
2021-06-01,4297.5,0.022213976,8942.78,0.023345391,0.0
2021-07-01,4395.26,0.022748109,9155.21,0.023754358,0.0
2021-08-02,4522.68,0.028990321,9433.58,0.030405638,0.0
